DateTime,Storage_m3,Q_out_m3d,Q_in_m3d
1/1/2009,780196070,2356041.6,6546497.913
1/2/2009,784814909.9,2331590.4,6950427.536
1/3/2009,788229416.9,2360966.4,5775459.63
1/4/2009,791109666.7,2434320,5314598.195
1/5/2009,793999562.3,2387836.8,5277752.767
1/6/2009,798151369.7,2407449.6,6559244.572
1/7/2009,802182160.3,2407449.6,6438212.48
1/8/2009,806209386.1,2414793.6,6442004.672
1/9/2009,810249736.2,2439244.8,6479584.072
1/10/2009,813899985.9,2446588.8,6096841.794
1/11/2009,818112702.5,2441664,6654416.361
1/12/2009,821931939,2444083.2,6263380.191
1/13/2009,825776313.8,2446588.8,6290953.098
1/14/2009,829497488.5,2446588.8,6167768.019
1/15/2009,833227223.7,2471040,6200772.323
1/16/2009,836981936.8,2471040,6225751.859
1/17/2009,840056003.3,2471040,5545114.542
1/18/2009,843422861,2471040,5837920.704
1/19/2009,846658131,2495491.2,5730785.161
1/20/2009,849905883.9,2321827.2,5569555.832
1/21/2009,853166045.5,2221516.8,5481650.373
1/22/2009,856863870.5,2206828.8,5904638.819
1/23/2009,861438921.9,2128550.4,6703592.529
1/24/2009,866333210.2,2189635.2,7083986.095
1/25/2009,870668127.6,2221516.8,6556406.544
1/26/2009,874740461.8,2223936,6296286.632
1/27/2009,878019742.4,2204323.2,5483656.565
1/28/2009,881846614.1,2223936,6050821.708
1/29/2009,885258419.8,2204323.2,5616187.562
1/30/2009,888829887.1,2199484.8,5770933.465
1/31/2009,892275613.5,2236118.4,5681902.581
2/1/2009,895726816.5,2236118.4,5687382.91
2/2/2009,899630780.7,2211667.2,6115680.425
2/3/2009,903260209.3,2175033.6,5804451.55
2/4/2009,906761911,2199484.8,5701181.597
2/5/2009,909833510.6,2245968,5317558.551
2/6/2009,913798988.4,2263075.2,6228565.421
2/7/2009,917333451.3,2236118.4,5770639.876
2/8/2009,920592453.5,2248387.2,5507412.813
2/9/2009,924307473.2,2221516.8,5936517.698
2/10/2009,928036431.3,2236118.4,5965142.632
2/11/2009,931479690.7,2199484.8,5642732.907
2/12/2009,934635006.6,2182291.2,5337669.402
2/13/2009,937801041.4,2199484.8,5365511.432
2/14/2009,941584432.9,2182291.2,5965754.276
2/15/2009,944773990.1,2214172.8,5403702.476
2/16/2009,948279305.9,2209248,5714588.831
2/17/2009,952334988.2,2211667.2,6267392.575
2/18/2009,955938748,2223936,5827718.484
2/19/2009,959547762.5,2216592,5825614.429
2/20/2009,962875309.1,2223936,5551475.639
2/21/2009,966058452.3,2221516.8,5404656.64
2/22/2009,969401183.1,2219011.2,5561775.722
2/23/2009,973069552.6,2214172.8,5882521.776
2/24/2009,977358905.3,2189635.2,6479045.825
2/25/2009,981365482.7,2223936,6230522.682
2/26/2009,985380916.5,2236118.4,6251612.163
2/27/2009,988638463.2,2214172.8,5471692.81
2/28/2009,991755467.1,2223936,5340947.813
3/1/2009,995187082.5,2228860.8,5660446.114
3/2/2009,998484717.3,2226355.2,5524025.061
3/3/2009,1002570237,2219011.2,6304580.523
3/4/2009,1006201603,2241043.2,5872441.885
3/5/2009,1010163380,2243462.4,6205322.953
3/6/2009,1013822350,2221516.8,5880466.653
3/7/2009,1017173938,2196979.2,5548637.611
3/8/2009,1020701308,2236118.4,5763544.807
3/9/2009,1024398430,2243462.4,5940652.411
3/10/2009,1028239881,2209248,6050699.379
3/11/2009,1031260896,2199484.8,5220502.899
3/12/2009,1034297650,2196979.2,5233787.804
3/13/2009,1037976738,2214172.8,5893237.777
3/14/2009,1041181775,2226355.2,5431422.177
3/15/2009,1044886533,2214172.8,5918926.82
3/16/2009,1048278689,2201904,5594070.519
3/17/2009,1052333360,2177452.8,6232137.421
3/18/2009,1056403622,2245968,6316226.223
3/19/2009,1060488513,2309558.4,6394467.709
3/20/2009,1064758673,2189635.2,6459840.207
3/21/2009,1069208069,2196979.2,6646416.059
3/22/2009,1075335912,2214172.8,8342015.24
3/23/2009,1081326776,2206828.8,8197691.749
3/24/2009,1087016745,2214172.8,7904127.149
3/25/2009,1092571106,2223936,7778299.769
3/26/2009,1096457493,2297289.6,6183719.691
3/27/2009,1100531677,2253312,6327480.47
3/28/2009,1105463044,2250806.4,7182240.569
3/29/2009,1110733556,2265494.4,7536039.858
3/30/2009,1114930620,2263075.2,6460158.262
3/31/2009,1120834289,2209248,8112942.372
4/1/2009,1123546255,3009312,5721243.516
4/2/2009,1127276681,4257014.4,7987481.978
4/3/2009,1126936315,6605712,6265386.383
4/4/2009,1124224891,9199094.4,6487706.703
4/5/2009,1118805597,11621145.6,6201922.213
4/6/2009,1111404495,14043283.2,6642207.949
4/7/2009,1102225862,15902697.6,6724094.832
4/8/2009,1094087275,15804806.4,7666271.075
4/9/2009,1086008684,15878160,7799658.373
4/10/2009,1077827702,15927148.8,7746200.698
4/11/2009,1066736249,18544982.4,7453565.797
4/12/2009,1054613139,21113827.2,8990822.609
4/13/2009,1041347605,23511427.2,10246038.19
4/14/2009,1026011439,26178249.6,10842170.79
4/15/2009,1007940957,30582057.6,12511665.01
4/16/2009,987091753.3,35719833.6,14870751.02
4/17/2009,963933092.3,35964432,12805939.12
4/18/2009,942495666.2,35964432,14527202.88
4/19/2009,922520999.5,35964432,15989961.46
4/20/2009,901954040.3,38411020.8,17844221.07
4/21/2009,883692985.7,39634358.4,21373430.76
4/22/2009,865756027.9,42080860.8,24144104.17
4/23/2009,850472507.6,42080860.8,26797562.14
4/24/2009,835452347.6,41836262.4,26816253.98
4/25/2009,819743745.4,39634358.4,23925894.1
4/26/2009,801481383.3,39634358.4,21372109.61
4/27/2009,780327978.4,39634358.4,18481064.68
4/28/2009,758413664.3,40612924.8,18698785.44
4/29/2009,735543859.7,40857609.6,17987957.38
4/30/2009,712098340.6,40857609.6,17412229.23
5/1/2009,690023365.7,40857609.6,18782800.85
5/2/2009,670259315.7,39878956.8,20115083.56
5/3/2009,654337864.2,37677052.8,21755781.59
5/4/2009,636573704.7,40857609.6,23093618.03
5/5/2009,623508918.9,40857609.6,27793000.33
5/6/2009,613080499.2,40857609.6,30429381.21
5/7/2009,603997152.5,40857609.6,31774435.05
5/8/2009,595094781.9,40857609.6,31955432.71
5/9/2009,584396193.2,40857609.6,30159205.87
5/10/2009,573416901.3,40857609.6,29878510.26
5/11/2009,564498964.3,39634358.4,30716560.25
5/12/2009,561365345.4,35964432,32831037.63
5/13/2009,559519948.3,33517929.6,31672681.97
5/14/2009,559632959.7,31316025.6,31429174.31
5/15/2009,559171095.4,31071340.8,30609644.9
5/16/2009,561133648.5,31071340.8,33034054.47
5/17/2009,565198532.5,31316025.6,35381078.85
5/18/2009,573890520.7,31071340.8,39763507.3
5/19/2009,589845892.8,31071340.8,47026925.25
5/20/2009,612958656,31316025.6,54428966.16
5/21/2009,638057852.5,31316025.6,56415414.24
5/22/2009,661862548.6,31316025.6,55120906.66
5/23/2009,685363895,31316025.6,54817555.76
5/24/2009,711577034.9,31316025.6,57529364.56
5/25/2009,738653154.4,31071340.8,58147687.59
5/26/2009,765430623.7,31071340.8,57849034.12
5/27/2009,792485848,31071340.8,58126793.84
5/28/2009,819743745.4,31071340.8,58329468.16
5/29/2009,849195091,29848089.6,59299608.76
5/30/2009,882415100.4,28624752,61845001.49
5/31/2009,918668927.8,27401500.8,63655540.79
6/1/2009,958796881.5,26178249.6,66306405.39
6/2/2009,1000049313,26178249.6,67430875.98
6/3/2009,1041504257,26178249.6,67633403.5
6/4/2009,1079657569,26178249.6,64331749.81
6/5/2009,1119654774,26178249.6,66175660.4
6/6/2009,1157436118,26422848,64204430.01
6/7/2009,1198599961,26178249.6,67342285.48
6/8/2009,1235735653,26178249.6,63314121.17
6/9/2009,1266379305,26178249.6,56822084.03
6/10/2009,1293587641,26178249.6,53386749.45
