DateTime,Storage_m3,Q_out_m3d,Q_in_m3d
1/1/2009,791491971.5,1144997.355,3823581.66
1/2/2009,792664776.6,1149890.506,2322705.426
1/3/2009,792664776.6,1144997.355,1144997.355
1/4/2009,792375217.2,1154783.657,865231.4417
1/5/2009,793258462.9,1157230.233,2040492.936
1/6/2009,794445687.4,1159676.809,2346902.058
1/7/2009,794749740.2,1162123.384,1466183.793
1/8/2009,795632998.2,1159676.809,2042939.512
1/9/2009,795632998.2,1154783.657,1154783.657
1/10/2009,795937051.1,1159676.809,1463737.217
1/11/2009,796226610.5,1159676.809,1449229.024
1/12/2009,796530663.3,1162123.384,1466183.793
1/13/2009,796530663.3,1164569.96,1164569.96
1/14/2009,795937051.1,1164569.96,570957.3351
1/15/2009,796226610.5,1162123.384,1451675.6
1/16/2009,796226610.5,1164569.96,1164569.96
1/17/2009,796226610.5,1169463.111,1169463.111
1/18/2009,795937051.1,1171909.686,882357.4705
1/19/2009,795937051.1,1171909.686,1171909.686
1/20/2009,795937051.1,1171909.686,1171909.686
1/21/2009,795343438.8,1174356.262,580743.6372
1/22/2009,795937051.1,1169463.111,1763075.735
1/23/2009,796226610.5,1171909.686,1461461.902
1/24/2009,796820222.7,1164569.96,1758182.584
1/25/2009,797717961.8,1164569.96,2062316.39
1/26/2009,797413909,1164569.96,860509.5509
1/27/2009,797413909,1164569.96,1164569.96
1/28/2009,797413909,1167016.535,1167016.535
1/29/2009,797124349.6,1167016.535,877464.3194
1/30/2009,797124349.6,1164569.96,1164569.96
1/31/2009,796820222.7,1159676.809,855543.0025
2/1/2009,796820222.7,1159676.809,1159676.809
2/2/2009,796530663.3,1159676.809,870124.5928
2/3/2009,796226610.5,1159676.809,855616.3998
2/4/2009,796226610.5,1159676.809,1159676.809
2/5/2009,795937051.1,1159676.809,870124.5928
2/6/2009,796226610.5,1157230.233,1446782.449
2/7/2009,796226610.5,1157230.233,1157230.233
2/8/2009,795937051.1,1157230.233,867678.0172
